,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
30,New Norfolk,-42.7826,147.0587,56.66,90,100,2.13,AU,1623977024
31,Mahébourg,-20.4081,57.7,68.25,78,51,14.18,MU,1623977024
32,George Town,5.4112,100.3354,78.89,90,20,3.0,MY,1623976829
33,Moose Factory,51.2585,-80.6094,75.2,64,20,3.44,CA,1623977024
34,Arraial do Cabo,-22.9661,-42.0278,69.48,68,100,12.06,BR,1623977002
35,Shimoda,34.6667,138.95,78.17,78,100,4.56,JP,1623977025
36,Nanortalik,60.1432,-45.2371,37.35,84,68,4.41,GL,1623977025
37,Khanbari,27.3747,87.2039,73.11,95,100,1.81,NP,1623977025
38,Troitskoye,52.9821,84.6757,65.89,87,50,5.08,RU,1623977026
39,Calama,-22.4667,-68.9333,52.29,28,20,3.44,CL,1623977026
40,Aswān,24.0934,32.907,81.66,19,0,11.03,EG,1623977026
41,Sakakah,29.9697,40.2064,80.17,26,0,8.77,SA,1623977027
42,Castro,-24.7911,-50.0119,52.43,83,100,2.86,BR,1623977027
43,Nouadhibou,20.931,-17.0347,69.78,73,0,19.57,MR,1623976798
44,Thompson,55.7435,-97.8558,44.76,93,90,12.66,CA,1623976998
45,Naze,28.3667,129.4833,76.12,78,100,2.68,JP,1623977028
46,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,49.33,61,100,4.0,AR,1623977028
47,Severo-Kuril'sk,50.6789,156.125,45.05,90,72,14.67,RU,1623977028
48,Cape Town,-33.9258,18.4232,55.99,100,75,2.3,ZA,1623976735
49,Madimba,-10.4,40.3333,70.23,92,98,9.66,TZ,1623977094
50,Jamestown,42.097,-79.2353,69.44,42,1,4.61,US,1623977094
51,Port Alfred,-33.5906,26.891,61.81,75,3,23.89,ZA,1623977094
52,Lebu,-37.6167,-73.65,50.92,83,0,2.21,CL,1623976995
53,Ponta do Sol,32.6667,-17.1,66.2,59,20,4.61,PT,1623976795
54,Khatanga,71.9667,102.5,74.34,40,7,12.03,RU,1623977095
55,Ribeira Grande,38.5167,-28.7,65.37,68,100,7.11,PT,1623977095
56,East London,-33.0153,27.9116,62.53,70,2,17.78,ZA,1623977096
57,Pacific Grove,36.6177,-121.9166,100.8,72,1,7.0,US,1623977096
58,Duku,11.2361,4.9073,81.23,59,38,5.79,NG,1623977096
59,Mitsamiouli,-11.3847,43.2844,76.68,71,61,6.91,KM,1623977096
60,Busselton,-33.65,115.3333,55.51,75,15,10.92,AU,1623976994
61,Kruisfontein,-34.0033,24.7314,56.88,80,0,13.89,ZA,1623977097
62,Kilosa,-6.8333,36.9833,62.28,70,10,2.42,TZ,1623977097
63,Butaritari,3.0707,172.7902,83.25,69,100,11.43,KI,1623977098
64,Ilulissat,69.2167,-51.1,42.82,75,75,5.75,GL,1623977098
65,Katsuura,35.1333,140.3,79.23,66,57,3.38,JP,1623977098
66,Hamilton,39.1834,-84.5333,81.45,44,1,8.05,US,1623977092
67,Kamenka,51.3223,42.7678,55.74,91,0,8.48,RU,1623977099
68,Port Keats,-14.25,129.55,84.99,40,20,10.8,AU,1623977099
69,Makkah al Mukarramah,21.4267,39.8261,86.95,40,9,6.29,SA,1623977099
70,Zyryanka,65.75,150.85,69.28,43,100,12.75,RU,1623977100
71,Fort Nelson,58.8053,-122.7002,65.79,48,75,5.75,CA,1623977100
72,Hobart,-42.8794,147.3294,57.02,92,75,1.01,AU,1623976949
73,Lata,40.1629,-8.3327,60.04,96,100,1.86,PT,1623977100
74,Kapaa,22.0752,-159.319,84.18,78,75,3.0,US,1623976989
75,Kahului,20.8947,-156.47,86.02,59,40,21.85,US,1623977101
76,Mataura,-46.1927,168.8643,45.48,78,6,7.34,NZ,1623977002
77,Makīnsk,52.6292,70.4169,63.93,43,49,13.76,KZ,1623977101
78,Lipin Bor,60.2622,37.9763,52.47,87,72,5.61,RU,1623977102
79,Henties Bay,-22.116,14.2845,54.86,84,0,3.94,NA,1623977104
80,Aykhal,66.0,111.5,70.81,36,72,5.03,RU,1623977105
81,Morondava,-20.2833,44.2833,68.09,70,1,9.08,MG,1623977105
82,Sisimiut,66.9395,-53.6735,38.44,79,100,5.37,GL,1623977105
83,Tsimmerbude,54.675,20.1347,59.05,85,3,8.72,RU,1623977106
84,Tasiilaq,65.6145,-37.6368,37.56,74,22,4.92,GL,1623977106
85,Adrar,20.5022,-10.0711,86.54,17,5,18.37,MR,1623977106
86,Homer,59.6425,-151.5483,55.29,64,90,4.61,US,1623977108
87,Cairns,-16.9167,145.7667,85.95,73,26,8.05,AU,1623977108
88,Avarua,-21.2078,-159.775,80.65,78,75,9.22,CK,1623977108
89,Port Elizabeth,-33.918,25.5701,61.09,82,0,16.11,ZA,1623977109
90,Dikson,73.5069,80.5464,31.93,90,100,7.29,RU,1623976988
91,Boat of Garten,57.2491,-3.759,51.08,90,21,3.51,GB,1623977109
92,Cherskiy,68.75,161.3,50.85,56,100,7.87,RU,1623977109
93,Atuona,-9.8,-139.0333,79.38,79,26,19.6,PF,1623976993
94,Jalu,29.0331,21.5482,80.38,28,0,6.73,LY,1623977110
95,Kavaratti,10.5669,72.642,82.99,78,77,23.78,IN,1623977110
96,Palmer,42.1584,-72.3287,70.41,58,33,3.53,US,1623976996
97,Broome,42.2506,-75.833,68.38,54,1,4.61,US,1623977176
98,Safi,32.2994,-9.2372,66.54,86,99,5.06,MA,1623977176
99,Bojnourd,37.4747,57.329,62.55,19,0,0.0,IR,1623977176
100,Provideniya,64.3833,-173.3,41.11,87,75,6.71,RU,1623977177
101,Puerto Ayora,-0.7393,-90.3518,73.99,87,32,4.0,EC,1623976992
102,Carnarvon,-24.8667,113.6333,50.07,45,0,10.36,AU,1623977177
103,Nikolskoye,59.7035,30.7861,57.09,75,1,5.14,RU,1623977177
104,Masuguru,-11.3667,38.4167,69.42,81,100,3.4,TZ,1623977178
105,Chino Valley,34.7575,-112.4538,97.11,26,75,20.71,US,1623977175
106,Los Llanos de Aridane,28.6585,-17.9182,65.95,89,0,20.71,ES,1623977178
107,Salinópolis,-0.6136,-47.3561,77.88,86,31,10.94,BR,1623977178
108,Nishihara,26.1842,127.7558,83.86,92,40,14.97,JP,1623977179
109,Hasaki,35.7333,140.8333,79.18,71,22,5.1,JP,1623977179
110,Warmbad,-28.45,18.7333,53.83,51,0,8.16,NA,1623977180
111,San Cristobal,7.7669,-72.225,71.78,98,100,3.27,VE,1623977180
112,Navrongo,10.8956,-1.0921,83.59,57,23,7.11,GH,1623977180
113,Porto-Novo,6.4965,2.6036,82.22,87,100,7.25,BJ,1623977181
114,Saint Paul Harbor,57.79,-152.4072,49.51,87,90,18.41,US,1623977181
115,Foz,43.5692,-7.2544,61.93,97,100,8.3,ES,1623977182
116,The Valley,18.217,-63.0578,82.26,81,100,24.49,AI,1623977086
117,Cabo San Lucas,22.8909,-109.9124,99.52,66,4,19.46,MX,1623977182
118,Zaqatala,41.6336,46.6433,66.67,83,0,0.0,AZ,1623977183
119,Egvekinot,66.3167,-179.1667,35.08,95,100,7.67,RU,1623977183
120,Tuktoyaktuk,69.4541,-133.0374,44.6,76,40,8.05,CA,1623976720
121,Vardø,70.3705,31.1107,43.88,74,63,10.42,NO,1623977184
122,Torbay,47.6666,-52.7314,59.77,88,75,14.97,CA,1623977184
123,Seoul,37.5683,126.9778,70.21,94,90,8.05,KR,1623977056
124,Saint-Pierre,-21.3393,55.4781,68.0,73,90,5.75,RE,1623976997
125,Tautira,-17.7333,-149.15,84.22,83,100,14.7,PF,1623977185
126,Winsum,53.33,6.5208,66.99,88,100,5.64,NL,1623977185
127,Podor,16.6527,-14.9587,84.15,58,0,4.61,MR,1623977185
128,Saint-Augustin,51.226,-58.6502,46.31,96,24,10.38,CA,1623977186
129,Zhangye,38.9342,100.4517,69.13,22,100,2.82,CN,1623977186
130,Hays,30.0502,-98.0336,93.02,61,15,9.33,US,1623977013
131,Harper,4.375,-7.7169,78.26,80,45,5.61,LR,1623977186
132,Asău,46.4333,26.4,64.96,92,100,7.02,RO,1623977187
133,Ahipara,-35.1667,173.1667,62.76,71,100,9.33,NZ,1623977187
134,Ipoti,7.8738,5.0769,67.57,98,13,3.67,NG,1623977187
135,Saint-François,46.4154,3.9054,63.84,82,0,4.61,FR,1623977188
136,Thunder Bay,48.4001,-89.3168,82.38,23,20,11.5,CA,1623977188
137,Katangli,51.7102,143.2326,48.85,83,99,10.8,RU,1623977254
138,Narsaq,60.9167,-46.05,48.42,73,15,5.44,GL,1623976996
139,Oranjestad,12.524,-70.027,82.35,84,40,7.0,AW,1623977254
140,Gillette,44.2911,-105.5022,86.92,19,1,10.36,US,1623977254
141,Salalah,17.0151,54.0924,82.49,83,20,5.75,OM,1623977255
142,San Jerónimo,-11.9472,-75.2829,46.94,79,56,3.44,PE,1623977255
143,Kadarkút,46.2362,17.6201,59.92,71,33,2.86,HU,1623977255
144,San Quintín,30.4833,-115.95,71.22,68,1,8.01,MX,1623977256
145,Araouane,18.9048,-3.5265,92.91,12,0,9.26,ML,1623977256
146,Rawson,-43.3002,-65.1023,41.5,65,0,10.31,AR,1623977256
147,Tiksi,71.6872,128.8694,56.39,59,66,3.74,RU,1623977257
148,Pochutla,15.7432,-96.4661,78.82,96,100,10.22,MX,1623977257
149,Mar del Plata,-38.0023,-57.5575,46.87,76,75,1.01,AR,1623977257
150,Chicama,-7.8447,-79.1469,64.94,81,87,5.73,PE,1623977258
151,Coahuayana Viejo,18.7333,-103.6833,82.51,79,100,5.79,MX,1623977258
152,La Ligua,-32.4524,-71.2311,51.58,88,0,1.19,CL,1623977258
153,Dunedin,-45.8742,170.5036,47.8,68,60,1.01,NZ,1623977259
154,Coquimbo,-29.9533,-71.3436,53.33,93,0,0.0,CL,1623977243
155,Ambon City,-3.6954,128.1814,78.94,89,40,3.44,ID,1623977259
156,Saldanha,-33.0117,17.9442,50.05,82,0,7.65,ZA,1623977259
157,Richards Bay,-28.783,32.0377,64.69,90,2,6.58,ZA,1623977260
158,Požega,45.3403,17.6853,64.76,77,1,1.34,HR,1623977260
159,College,64.8569,-147.8028,62.2,79,75,4.61,US,1623977260
160,Iqaluit,63.7506,-68.5145,33.53,93,90,18.41,CA,1623977261
161,Cidreira,-30.1811,-50.2056,53.91,82,27,5.84,BR,1623977261
162,Iquique,-20.2208,-70.1431,62.64,79,49,3.04,CL,1623977261
163,Portland,45.5234,-122.6762,86.0,31,20,1.99,US,1623976680
164,Launceston,-41.45,147.1667,55.62,83,99,7.0,AU,1623977262
165,Vung Tau,10.346,107.0843,82.31,78,48,7.2,VN,1623976973
166,Susanville,40.4163,-120.653,98.44,4,1,8.99,US,1623977262
167,Bluff,-46.6,168.3333,45.81,69,8,17.9,NZ,1623977263
168,Turgenevo,54.8455,46.3297,52.0,86,0,4.94,RU,1623977263
169,Okitipupa,6.5047,4.7839,73.11,98,100,0.87,NG,1623977263
170,Chegdomyn,51.1167,133.0167,72.21,65,100,6.13,RU,1623977264
171,Hithadhoo,-0.6,73.0833,83.46,72,52,7.0,MV,1623977264
172,Klyuchi,52.2667,79.1667,76.08,45,7,2.26,RU,1623977264
173,Tianpeng,30.9866,103.9393,70.63,92,100,1.45,CN,1623977264
174,Whitehorse,60.7161,-135.0538,74.01,20,75,5.01,CA,1623977265
175,Brigantine,39.4101,-74.3646,70.07,71,1,6.91,US,1623977265
176,Takhatpur,22.15,81.8667,77.94,78,100,8.43,IN,1623977265
177,Letterkenny,54.95,-7.7333,49.68,66,99,7.47,IE,1623977266
178,Airai,-8.9266,125.4092,71.2,45,8,4.21,TL,1623977266
179,Cayenne,4.9333,-52.3333,77.09,90,0,2.3,GF,1623977266
180,Tessalit,20.1986,1.0114,90.97,12,0,6.15,ML,1623977267
181,Barrow,71.2906,-156.7887,55.42,67,1,9.22,US,1623977267
182,Erenhot,43.6475,111.9767,63.01,33,0,23.42,CN,1623977267
183,Fare,-16.7,-151.0167,79.99,72,34,16.78,PF,1623977333
184,Vao,-22.6667,167.4833,71.65,76,18,4.29,NC,1623977333
185,Lompoc,34.6391,-120.4579,91.54,70,1,12.66,US,1623977193
186,Northam,51.0333,-4.2167,61.12,81,100,13.22,GB,1623977327
187,Ossora,59.2353,163.0719,43.95,96,100,7.4,RU,1623977334
188,Yulara,-25.2406,130.9889,48.04,66,100,11.5,AU,1623977334
189,Birjand,32.8663,59.2211,64.87,9,0,6.91,IR,1623977230
190,Upernavik,72.7868,-56.1549,34.93,72,2,6.76,GL,1623977334
191,Lavrentiya,65.5833,-171.0,43.18,87,100,7.74,RU,1623977335
192,Buraidah,26.326,43.975,77.45,20,0,9.46,SA,1623977335
193,Tiruchchendur,8.4833,78.1167,79.97,79,100,10.16,IN,1623977335
194,Moerai,-22.4333,-151.3333,75.31,81,11,20.83,PF,1623977336
195,Verkhoyansk,67.5447,133.385,76.95,27,0,5.19,RU,1623977336
196,Magadan,59.5667,150.8,61.18,44,0,15.59,RU,1623977336
197,Zaragoza,41.6561,-0.8773,68.11,80,0,4.61,ES,1623977337
198,Koumac,-20.5667,164.2833,78.3,70,78,4.05,NC,1623977337
199,Coyhaique,-45.5752,-72.0662,27.21,93,1,0.0,CL,1623977337
200,Fortuna,40.5982,-124.1573,84.18,68,1,5.01,US,1623977320
201,Cabedelo,-6.9811,-34.8339,75.87,88,8,10.67,BR,1623977331
202,Belaya Gora,68.5333,146.4167,60.19,34,68,6.64,RU,1623977338
203,Noumea,-22.2763,166.4572,80.58,99,62,8.39,NC,1623977268
204,Lander,42.833,-108.7307,92.1,8,1,17.27,US,1623977336
205,Dukat,62.55,155.55,40.35,84,25,6.29,RU,1623977338
206,Alūr,12.9833,75.9833,66.74,89,88,12.39,IN,1623977338
207,Ust'-Karsk,52.7011,118.8077,50.74,98,100,7.2,RU,1623977339
208,Friedberg,48.3569,10.9846,65.16,87,0,0.0,DE,1623977339
209,Barcelona,41.3888,2.159,73.98,87,40,4.0,ES,1623977172
210,Palauig,15.435,119.9045,84.79,72,63,3.44,PH,1623977340
211,Ushumun,52.7833,126.5333,67.57,63,100,13.4,RU,1623977340
212,Kimbe,-5.5502,150.1429,87.73,55,68,0.63,PG,1623977340
213,Margate,51.3813,1.3862,63.21,99,100,3.0,GB,1623977341
214,Vostok,46.4856,135.8833,71.83,41,100,5.7,RU,1623977341
215,Yangi Marg`ilon,40.4272,71.7189,67.42,39,10,9.22,UZ,1623977341
216,Srednekolymsk,67.45,153.6833,62.65,46,100,15.86,RU,1623977342
217,Lorengau,-2.0226,147.2712,84.38,64,22,4.99,PG,1623977340
218,Westport,41.1415,-73.3579,73.45,53,1,1.01,US,1623977342
219,Paamiut,61.994,-49.6678,39.15,87,57,7.83,GL,1623977343
220,Leningradskiy,69.3833,178.4167,41.04,86,100,4.07,RU,1623977343
221,Miraflores,19.2167,-98.8083,66.87,76,100,4.92,MX,1623977343
222,Kaitangata,-46.2817,169.8464,48.92,70,98,9.15,NZ,1623977321
223,Longyearbyen,78.2186,15.6401,39.04,70,75,16.11,SJ,1623977344
224,Chu,43.5983,73.7614,69.22,46,91,8.1,KZ,1623977344
225,Nurota,40.5614,65.6886,64.49,20,0,4.99,UZ,1623977344
226,Selma,36.5708,-119.6121,107.04,25,1,4.61,US,1623977345
227,Chapais,49.7834,-74.8492,67.78,54,100,5.61,CA,1623977271
228,Malmesbury,-33.4608,18.7271,54.79,89,0,4.63,ZA,1623977345
229,Zhigansk,66.7697,123.3711,72.54,35,100,7.9,RU,1623977410
230,Pierre,44.3683,-100.351,90.52,56,1,7.0,US,1623977411
231,Beringovskiy,63.05,179.3167,45.86,75,19,13.91,RU,1623977411
232,Matamoros,25.5333,-103.25,85.1,34,7,20.69,MX,1623977411
233,Yichang,30.7144,111.2847,74.88,83,100,2.01,CN,1623977224
234,Bathsheba,13.2167,-59.5167,81.21,69,40,19.57,BB,1623977412
235,Ancud,-41.8697,-73.8203,37.42,77,0,7.61,CL,1623977317
236,Ngama,11.7833,17.1667,79.95,65,97,10.02,TD,1623977412
237,Sitka,57.0531,-135.33,60.69,63,90,3.44,US,1623976993
238,Shelburne,44.0787,-80.2041,73.89,82,6,7.11,CA,1623977053
239,Chai Badan,15.2,101.1333,86.72,70,56,4.85,TH,1623977413
240,Saskylakh,71.9167,114.0833,78.15,29,6,12.77,RU,1623977000
241,Bairiki Village,1.3292,172.9752,86.0,70,40,13.8,KI,1623977413
242,Fécamp,49.7579,0.3746,66.69,96,97,6.33,FR,1623977413
243,Saint George,37.1041,-113.5841,108.19,10,1,5.01,US,1623977324
244,Mount Isa,-20.7333,139.5,64.17,34,62,20.71,AU,1623977414
245,Taoudenni,22.6783,-3.9836,99.07,7,0,10.13,ML,1623976993
246,Chui,-33.6971,-53.4616,48.67,84,91,8.7,UY,1623977333
247,Olinda,-8.0089,-34.8553,71.33,94,90,6.91,BR,1623977414
248,Anchorage,61.2181,-149.9003,67.68,58,75,5.75,US,1623977309
249,Flinders,-34.5833,150.8552,62.19,58,9,13.0,AU,1623977359
250,Yeppoon,-23.1333,150.7333,71.38,33,54,6.62,AU,1623977321
251,Skibbereen,51.55,-9.2667,49.8,79,0,11.54,IE,1623977415
252,Flin Flon,54.7682,-101.865,45.46,95,100,7.54,CA,1623977415
253,Caravelas,-17.7125,-39.2481,69.96,78,0,5.44,BR,1623977353
254,Puro,12.4841,123.3827,86.41,65,50,4.63,PH,1623977416
255,Tiznit Province,29.5833,-9.5,60.04,86,100,6.02,MA,1623977416
256,Port-Cartier,50.0334,-66.8654,50.94,85,14,6.04,CA,1623977416
257,Matagami,49.7502,-77.6328,60.91,88,90,4.61,CA,1623977417
258,Inta,66.0317,60.1659,45.43,65,9,13.33,RU,1623977417
259,Bama,11.5221,13.6856,83.88,47,96,8.99,NG,1623977417
260,Klaksvík,62.2266,-6.589,45.52,89,100,12.17,FO,1623977417
261,Anadyr,64.75,177.4833,54.1,47,0,4.47,RU,1623977418
262,La Rioja,42.25,-2.5,57.04,80,71,3.11,ES,1623977418
263,Zhangjiakou,40.81,114.8794,71.01,27,77,21.16,CN,1623977418
264,Yumen,40.2833,97.2,70.0,16,99,7.4,CN,1623977357
265,Isangel,-19.55,169.2667,84.31,70,75,0.0,VU,1623977344
266,Ishigaki,24.3448,124.1572,86.13,84,75,4.61,JP,1623977419
267,Mirny,62.5353,113.9611,71.89,41,99,7.27,RU,1623977419
268,Cumana,10.4635,-64.1775,80.69,83,91,4.32,VE,1623977420
269,Pind Dadan Khan,32.5879,73.0456,88.23,41,75,4.85,PK,1623977420
270,Xining,36.6167,101.7667,55.02,59,100,1.72,CN,1623977420
271,Kitangari,-10.65,39.3333,62.42,97,100,4.65,TZ,1623977421
272,Cervo,43.6702,-7.4101,59.2,93,100,11.7,ES,1623977421
273,Graham,47.0529,-122.2943,80.33,31,1,1.99,US,1623977421
274,Ongandjera,-17.8833,15.0667,57.85,34,0,4.92,NA,1623977422
275,Meulaboh,4.1363,96.1285,78.66,77,95,3.36,ID,1623977487
276,Ust'-Ilimsk,58.0006,102.6619,71.2,38,2,1.34,RU,1623977487
277,Panguna,-6.3164,155.4848,81.3,60,30,1.48,PG,1623977487
278,Kologriv,58.8275,44.3178,46.42,79,7,0.85,RU,1623977488
279,Manzhouli,49.6,117.4333,50.47,92,100,14.88,CN,1623977488
280,Balakirevo,56.5059,38.8432,53.58,85,5,3.27,RU,1623977489
281,Luanda,-8.8368,13.2343,71.6,94,20,2.3,AO,1623977489
282,Kabare,-2.4683,28.8242,61.38,91,98,2.33,CD,1623977489
283,Pundaguitan,6.3711,126.1689,83.64,68,17,3.44,PH,1623977490
284,Guasdualito,7.2424,-70.7324,71.64,97,88,1.25,VE,1623977490
285,Tarauacá,-8.1614,-70.7656,74.95,78,100,1.36,BR,1623977490
286,Villarrica,-25.75,-56.4333,51.6,63,100,5.35,PY,1623977490
287,Kashmor,28.4333,69.5833,85.86,54,0,8.93,PK,1623977491
288,Codrington,-38.2667,141.9667,57.13,79,21,15.48,AU,1623977349
289,Tucumã,-0.1833,-50.05,75.56,92,51,5.21,BR,1623977491
290,Saint-Philippe,-21.3585,55.7679,68.49,86,58,12.48,RE,1623977324
291,Samoded,63.6083,40.5111,51.49,59,96,7.9,RU,1623977492
292,Alyangula,-13.8483,136.4192,80.47,69,10,10.36,AU,1623977492
293,Kolondiéba,11.0882,-6.8926,77.67,72,100,6.08,ML,1623977492
294,Raduzhny,62.0961,77.475,58.84,78,100,3.74,RU,1623977493
295,Deputatsky,69.3,139.9,64.71,46,100,7.2,RU,1623977493
296,Mackay,-21.15,149.2,74.05,56,1,3.44,AU,1623977222
297,Hong Kong,22.2855,114.1577,90.32,81,58,1.01,HK,1623977050
298,Port-Gentil,-0.7193,8.7815,77.7,83,100,11.61,GA,1623977494
299,Port Blair,11.6667,92.75,83.5,81,100,11.32,IN,1623977494
300,Visnes,59.3556,5.2242,57.09,94,90,18.41,NO,1623977494
301,Tripoli,32.8752,13.1875,74.41,60,19,15.03,LY,1623977102
302,Sampit,-2.5333,112.95,75.0,96,100,0.89,ID,1623977494
303,Mount Gambier,-37.8333,140.7667,51.71,93,18,10.36,AU,1623977430
304,Kumul,42.8,93.45,80.46,12,83,2.62,CN,1623977344
305,Rushden,52.2914,-0.5992,60.31,92,100,7.4,GB,1623977495
306,Bontang,0.1333,117.5,75.76,92,98,5.55,ID,1623977495
307,Onega,63.9061,38.1404,55.22,66,100,8.88,RU,1623977496
308,Itamaracá,-7.7478,-34.8256,75.88,87,25,8.95,BR,1623977496
309,Anaconda,46.1285,-112.9423,77.99,21,0,10.74,US,1623977496
310,Ōdachō-ōda,35.1833,132.5,68.77,94,100,6.02,JP,1623977497
311,Luorong,24.4058,109.6086,84.67,75,95,8.55,CN,1623977481
312,Sarakhs,36.5449,61.1577,69.94,30,0,2.3,IR,1623977497
313,Sisophon,13.5859,102.9737,82.09,78,60,9.13,KH,1623977497
314,Zhangzhou,24.5133,117.6556,87.73,66,94,3.87,CN,1623977498
315,Moranbah,-22.0016,148.0466,68.76,27,10,9.4,AU,1623977498
316,Manavālakurichi,8.1333,77.3,80.69,86,100,11.7,IN,1623977498
317,Mohān,26.7833,80.6833,78.75,84,100,6.91,IN,1623977499
318,Trincomalee,8.5711,81.2335,81.0,78,100,19.06,LK,1623977499
319,Beloha,-25.1667,45.05,62.46,86,0,6.8,MG,1623977363
320,Carora,10.1755,-70.0827,77.36,69,99,10.31,VE,1623977499
321,Qaanaaq,77.484,-69.3632,33.21,74,5,4.52,GL,1623977320
322,Evensk,61.95,159.2333,50.36,74,100,11.21,RU,1623977338
323,Bara,10.3744,10.7288,79.21,74,100,9.48,NG,1623977565
324,Novoorsk,51.381,58.9813,61.45,76,0,13.22,RU,1623977565
325,Lātehār,23.75,84.5,75.25,88,100,0.74,IN,1623977566
326,Podil’s’k,47.7531,29.532,63.86,96,100,15.7,UA,1623977566
327,Bambous Virieux,-20.3428,57.7575,68.22,77,48,14.23,MU,1623977452
328,Thinadhoo,0.5333,72.9333,83.62,73,64,6.42,MV,1623977567
329,Omaruru,-21.4333,15.9333,54.99,35,0,3.47,NA,1623977567
330,Owando,-0.4819,15.8999,71.46,90,100,2.15,CG,1623977567
331,Usinsk,65.9939,57.5281,46.63,57,23,9.55,RU,1623977467
332,Zawadzkie,50.605,18.4847,66.02,84,0,6.58,PL,1623977568
333,Bafoulabé,13.8065,-10.8321,90.34,43,100,8.63,ML,1623977568
334,Nsanje,-16.92,35.262,65.77,77,5,1.79,MW,1623977568
335,Rosarito,32.3333,-117.0333,91.94,67,13,5.64,MX,1623977569
336,Russell,32.3502,-85.1999,85.28,73,20,0.0,US,1623977569
337,Challans,46.8436,-1.8749,61.72,96,100,8.95,FR,1623977569
338,Bantou,26.2151,117.4893,88.2,64,100,4.0,CN,1623977569
339,Tibati,6.4667,12.6333,64.83,98,63,1.81,CM,1623977570
340,Kozhva,65.1073,57.0459,47.44,58,10,7.47,RU,1623977570
341,Bonavista,48.6499,-53.1147,62.6,82,100,16.8,CA,1623977570
342,Biržai,56.2,24.75,55.72,89,10,7.23,LT,1623977571
343,Ciudad del Carmen,18.6333,-91.8333,78.64,87,100,5.66,MX,1623977445
344,Itarema,-2.9248,-39.9167,78.19,85,4,11.03,BR,1623977323
345,Mongaguá,-24.0931,-46.6208,65.66,90,76,3.11,BR,1623977503
346,Saryg-Sep,51.5,95.6,62.31,55,4,2.66,RU,1623977571
347,Gornopravdinsk,60.05,69.9,44.62,67,100,13.09,RU,1623977572
348,São Filipe,14.8961,-24.4956,73.71,74,1,8.95,CV,1623977528
349,Berlevåg,70.8578,29.0864,42.37,82,95,13.65,NO,1623977572
350,Zhanakorgan,43.9098,67.2495,78.44,17,0,4.21,KZ,1623977572
351,Wanning,18.8003,110.3967,86.95,71,10,9.86,CN,1623977365
352,Doha,25.2867,51.5333,93.18,26,0,14.97,QA,1623977573
353,Meyzieu,45.7667,5.0,75.15,56,0,3.44,FR,1623977573
354,Aklavik,68.2191,-135.0107,70.52,32,84,7.61,CA,1623977323
355,Langsa,4.4683,97.9683,76.33,92,100,2.24,ID,1623977574
356,Bengkulu,-3.8004,102.2655,76.96,78,59,1.99,ID,1623977447
357,Sioux Lookout,50.1001,-91.917,77.38,35,75,8.05,CA,1623977305
358,Teruel,40.6667,-0.6667,58.96,72,100,4.32,ES,1623977574
